web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,image
"1780934450-45","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Alugo T2 exclusivo primeira linha vista mar","1.750 €Negociável","Santiago (Sesimbra) - Hoje às 15:16","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-46","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Alugo apartamento T2 (brandoa)","800 €","Encosta do Sol - 05 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-47","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda T0 Peniche","350 €","Peniche - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-48","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T1 Mobilado e Equipado no Centro de Viseu (Junto ao Fórum)","750 €","Viseu - Hoje às 16:25","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-49","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Casa com 3 quartos - localizado em Porto","750 €","Alpendorada, Várzea E Torrão - Hoje às 12:46","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-50","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T2 | Elevador | Equipado | Lugar de garagem | Arrumo | Matosinhos Sul","1.250 €","Matosinhos E Leça Da Palmeira - Para o topo a 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-51","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Estúdio (T0) em Viana do Castelo (disponível APENAS o mês de Julho)","550 €","Viana Do Castelo (Santa Maria Maior E Monserrate) E Meadela - Hoje às 16:43","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-52","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 com 93m² para arrendamento com cozinha equipada e semi","1.200 €","Queluz E Belas - 03 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/do7pyus8a5281-PT/image;s=510x383;q=50"
"1780934453-53","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 Malvarosa","1.750 €","Alverca Do Ribatejo E Sobralinho - 03 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/m9d4odblrks61-PT/image;s=555x359;q=50"
"1780934453-54","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","DISPONÍVEL EM AGOSTO/26 - Apartamento T2 para arrendamento - Centro Comercial Villa","870 €","Urgezes - 04 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/ykacm3b8ficd1-PT/image;s=510x382;q=50"
"1780934453-55","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 - Padrão da Légua","1.050 €","Custóias, Leça Do Balio E Guifões - 05 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/h35msek7enkt1-PT/image;s=510x680;q=50"
"1780934453-56","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3 para arrendamento","1.480 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - 04 de junho de 2026","","Seguir","https://ireland.apollo.olxcdn.com:443/v1/files/57x6iquuhyjo1-PT/image;s=537x359;q=50"
"1780934453-57","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Estúdio - localizado em Bonfim Porto","1.250 €","Bonfim - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-58","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T2 Mobilado e Equipado com Suite e Varanda na Parede | Junto aos Ma...","1.500 €","São Domingos de Rana - 05 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-59","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T3 com Terraço e Garagem  - ARRENDAMENTO","1.100 €","Buarcos - 04 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-60","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T 1 Portimão arrenda -se","900 €","Portimão - 03 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-61","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Estúdio - localizado em  Coimbra","660 €","Coimbra (Sé Nova, Santa Cruz, Almedina E São Bartolomeu) - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-62","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3+1 para arrendamento, disponível à partir Agosto/Stembro","1.100 €","São Victor - 04 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-63","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 1 quartos - localizado em Aveiro","1.250 €","Beduído E Veiros - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-64","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 1 quartos - localizado em Aveiro","1.250 €","Beduído E Veiros - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-65","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 2 quartos - localizado em Bonfim Porto","1.750 €","Bonfim - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-66","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 para arrendamento","1.500 €","Pontinha E Famões - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-67","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T3 Renovado no Centro de Braga com Suite, Garagem e Acabamentos Modern","1.100 €","Braga (São José De São Lázaro E São João Do Souto) - 03 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-68","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T1 Junto Jardim do Lago","650 €","Covilhã E Canhoso - 05 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-69","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 2 quartos - localizado em São Romão Coimbra","1.050 €","Santo António dos Olivais - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-70","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Casa com 2 quartos - localizado em Amadora Lisbon","2.900 €","Queluz E Belas - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-71","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Estúdio - localizado em Setubal","950 €","Setúbal (São Julião, Nossa Senhora Da Anunciada E Santa Maria Da Graça) - 04 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-72","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T1 em Miramar","1.200 €","Gulpilhares E Valadares - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-73","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento Junto H.S.João, IPO","1.200 €","Paranhos - 05 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-74","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 1 quartos - localizado em Paranhos Porto","950 €","Paranhos - 04 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-75","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento com 4 quartos - localizado em Benfica Lisbon","3.800 €","Benfica - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-76","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Estúdio - localizado em Bonfim Porto","1.250 €","Bonfim - 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-77","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3+1 para arrendamento","1.200 €","Évora (São Mamede, Sé, São Pedro E Santo Antão) - 03 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-78","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","T1 mobilado com lugar de garagem ao Pinheiro Manso","1.000 €","Ramalde - 05 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-79","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T4 para arrendar na Avenida do Parque - PORTO","3.500 €","Aldoar, Foz Do Douro E Nevogilde - 04 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-80","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T3+1 no centro de Famalicão","1.250 €","Vila Nova De Famalicão E Calendário - 05 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-81","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","Apartamento T2 em Camarate – Espaço, Conforto e Tranquilidade","1.250 €","Camarate, Unhos E Apelação - 04 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934453-82","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/?page=25","arrendo apartamento","2.000 €","Lumiar - Para o topo a 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
