web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,image
"1781563516-41","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","VENDA DE APARTAMENTOS REMODELADOS – AMADORA","319.000 €","Águas Livres - Para o topo hoje às 11:03","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-42","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento t1 na Reboleira/amadora Para investidores","100.000 €Negociável","Massamá E Monte Abraão - Hoje às 13:37","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-43","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Vendo Apartamento na Herdade da Aroeira.","550.000 €","Charneca De Caparica E Sobreda - Para o topo a 14 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-44","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 Duplex novo em Alcântara | VdS32 com terraço e estacionamento","980.000 €","Estrela - Para o topo hoje às 12:28","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-45","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 Francos","395.000 €Negociável","Ramalde - Para o topo hoje às 23:04","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-46","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 Vila Chã, Santo António da Charneca - Barreiro","360.000 €","Alto Do Seixalinho, Santo André E Verderena - Hoje às 17:49","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-47","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2, com elevador, para venda.","285.000 €Negociável","Lamego (Almacave E Sé) - Para o topo hoje às 06:26","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-48","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 Alcanena","255.000 €Negociável","Alcanena E Vila Moreira - Hoje às 21:34","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-49","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","8 mins andando da Praia de Santo Amaro","532.500 €","Oeiras E São Julião Da Barra, Paço De Arcos E Caxias - Hoje às 20:18","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-50","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Vende-se apartamento","190.000 €Negociável","Baixa Da Banheira E Vale Da Amoreira - Hoje às 22:04","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
